"","Provfs","Estimates","e_alpha","PPPW"
"3110","253503",-4.63581824954749,0.00969816826904775,1.63375643084059
"3111","26004F",-4.12405334150685,0.0161788031424399,2.69207498854892
"3112","262315",-17,4.13993771878517e-08,7.10650838221522e-06
"3113","262339",-17,4.13993771878517e-08,7.10650838221522e-06
"3114","262340",-17,4.13993771878517e-08,7.10650838221522e-06
"3115","262501",-17,4.13993771878517e-08,7.10650838221522e-06
"3116","262502",-3.7700767367705,0.0230502944142053,3.78635165859527
"3117","262503",-5.2106918029022,0.0054578965925861,0.926980287922433
"3118","262504",-5.19070077848961,0.00556810344026037,0.945496340583659
"3119","262505",-4.17716718913127,0.0153419067871048,2.55686333000592
"3120","262506",-6.02504031728887,0.00241745410020442,0.413017485945388
"3121","262507",-17,4.13993771878517e-08,7.10650838221522e-06
"3122","262508",-4.09429783796358,0.0166674454225019,2.77082458619116
"3123","262509",-17,4.13993771878517e-08,7.10650838221522e-06
"3124","262511",-3.32691414293765,0.0359037280693131,5.76019977931369
"3125","262513",-17,4.13993771878517e-08,7.10650838221522e-06
"3126","262515",-17,4.13993771878517e-08,7.10650838221522e-06
"3127","262516",-17,4.13993771878517e-08,7.10650838221522e-06
"3128","262517",-4.68873191017183,0.00919834308897084,1.55104215681241
"3129","262520",-17,4.13993771878517e-08,7.10650838221522e-06
"3130","262521",-4.46532797534683,0.0115009231221083,1.93077792458556
"3131","262522",-17,4.13993771878517e-08,7.10650838221522e-06
"3132","262523",-3.25469215522759,0.0385926993956397,6.16161910860992
"3133","262524",-3.1418486128341,0.043202858677372,6.8409290067588
"3134","262527",-17,4.13993771878517e-08,7.10650838221522e-06
"3135","262528",-5.1610151304019,0.00573587406912521,0.973668644899153
"3136","262530",-17,4.13993771878517e-08,7.10650838221522e-06
"3137","262531",-17,4.13993771878517e-08,7.10650838221522e-06
"3138","262534",-17,4.13993771878517e-08,7.10650838221522e-06
"3139","262535",-17,4.13993771878517e-08,7.10650838221522e-06
"3140","262536",-17,4.13993771878517e-08,7.10650838221522e-06
"3141","262537",-3.42989278602577,0.0323904132916884,5.22982624745249
"3142","262538",-17,4.13993771878517e-08,7.10650838221522e-06
"3143","262539",-3.93642279361983,0.0195179096053841,3.22733496392946
"3144","262540",-4.50225170119922,0.0110840105384747,1.86226911315364
"3145","262541",-17,4.13993771878517e-08,7.10650838221522e-06
"3146","262542",-17,4.13993771878517e-08,7.10650838221522e-06
"3147","262543",-17,4.13993771878517e-08,7.10650838221522e-06
"3148","262544",-17,4.13993771878517e-08,7.10650838221522e-06
"3149","262547",-5.66510135313002,0.00346479658694445,0.590748126192844
"3150","262548",-17,4.13993771878517e-08,7.10650838221522e-06
"3151","262549",-5.61678369062879,0.00363631784406207,0.619785795279942
"3152","262550",-17,4.13993771878517e-08,7.10650838221522e-06
"3153","262551",-4.42568324611245,0.0119660327617783,2.00707833230905
"3154","262552",-3.00981827868135,0.0493006369232449,7.72258884601408
"3155","262553",-17,4.13993771878517e-08,7.10650838221522e-06
"3156","262555",-3.83564499908612,0.0215874101189734,3.55573464348427
"3157","262556",-17,4.13993771878517e-08,7.10650838221522e-06
"3158","262559",-17,4.13993771878517e-08,7.10650838221522e-06
"3159","262560",-17,4.13993771878517e-08,7.10650838221522e-06
"3160","262561",-3.22060788711892,0.0399307774761375,6.35993619823542
"3161","262562",-17,4.13993771878517e-08,7.10650838221522e-06
"3162","262563",-17,4.13993771878517e-08,7.10650838221522e-06
"3163","262564",-3.77004901491598,0.0230509334199708,3.78645212153801
"3164","262565",-4.90897891404936,0.00738002012027198,1.24879274788231
"3165","262568",-17,4.13993771878517e-08,7.10650838221522e-06
"3166","262569",-17,4.13993771878517e-08,7.10650838221522e-06
"3167","262570",-4.94297888785522,0.00713331733875745,1.2076217289163
"3168","262572",-17,4.13993771878517e-08,7.10650838221522e-06
"3169","262573",-17,4.13993771878517e-08,7.10650838221522e-06
"3170","262574",-17,4.13993771878517e-08,7.10650838221522e-06
"3171","262575",-3.63226734110664,0.0264561312801831,4.31845177165442
"3172","262576",-4.3821819268273,0.0124980589987973,2.0941908046418
"3173","262577",-3.4918626529938,0.0304441125085425,4.93309065068757
"3174","262578",-17,4.13993771878517e-08,7.10650838221522e-06
"3175","262579",-17,4.13993771878517e-08,7.10650838221522e-06
"3176","262580",-5.3592065457006,0.00470463754191093,0.800212204147981
"3177","262581",-17,4.13993771878517e-08,7.10650838221522e-06
"3178","262583",-4.26098185426785,0.0141084431722599,2.35680013122112
"3179","262584",-17,4.13993771878517e-08,7.10650838221522e-06
"3180","262585",-2.37477416452493,0.0930354975541483,13.5369878805867
"3181","262587",-17,4.13993771878517e-08,7.10650838221522e-06
"3182","262589",-3.43777958113561,0.032135961462196,5.19115136383894
"3183","262590",-17,4.13993771878517e-08,7.10650838221522e-06
